1,1,3,2.345096757169813
1,1,4,2.376004563178867
1,1,5,2.3590262490324676
2,1,3,3.051995348650962
2,1,4,2.990913638379425
2,1,5,2.9418583028018475
3,1,3,4.665136844851077
3,1,4,4.494474744889885
3,1,5,4.474905128125101
4,1,3,2.9163401410914958
4,1,4,2.9139800779521465
4,1,5,2.9273096257820725
5,1,3,3.943569201976061
5,1,4,3.8315599127672613
5,1,5,3.9089594040997326
6,1,3,10.527184792794287
6,1,4,10.526590096298605
6,1,5,10.25207122322172
7,1,3,4.205443696118891
7,1,4,4.432652018964291
7,1,5,4.382995798718184
8,1,3,8.331691447179765
8,1,4,8.296078147832304
8,1,5,8.197307009715587
9,1,3,13.397782305255532
9,1,4,13.438882465008646
9,1,5,13.429451160132885
10,1,3,12.025395249947906
10,1,4,14.244720338843763
10,1,5,11.942257531918585
